source_row,id,datetime_clean,datetime_source,conversion_needed,conversion_step,timestamp_status,timestamp_issue_codes,datetime_utc_reference,selected_minus_reference_seconds,time_policy_version,localtimes_raw,datetime_raw,lat_raw,lng_raw,lat_clean,lon_clean,coordinate_check,datetime_local,datetime_utc,previous_datetime_local,clock_change_seconds,local_date_changed,utc_date_changed,expected_weather_hours_10_preceding_days
51,13961816,2020-06-13T06:50:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T04:50:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T04:50:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 06:50:00,2020-06-13T04:50:00Z,2020-06-13T04:50:00+02:00,7200.0,False,False,264
52,13961817,2020-06-13T06:52:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T04:52:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T04:52:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 06:52:00,2020-06-13T04:52:00Z,2020-06-13T04:52:00+02:00,7200.0,False,False,264
53,13961818,2020-06-13T07:06:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T05:06:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T05:06:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 07:06:00,2020-06-13T05:06:00Z,2020-06-13T05:06:00+02:00,7200.0,False,False,264
54,13961819,2020-06-13T07:10:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T05:10:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T05:10:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 07:10:00,2020-06-13T05:10:00Z,2020-06-13T05:10:00+02:00,7200.0,False,False,264
55,13961821,2020-06-13T07:13:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T05:13:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T05:13:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 07:13:00,2020-06-13T05:13:00Z,2020-06-13T05:13:00+02:00,7200.0,False,False,264
56,13961822,2020-06-13T07:20:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T05:20:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T05:20:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 07:20:00,2020-06-13T05:20:00Z,2020-06-13T05:20:00+02:00,7200.0,False,False,264
57,13961823,2020-06-13T07:30:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T05:30:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T05:30:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 07:30:00,2020-06-13T05:30:00Z,2020-06-13T05:30:00+02:00,7200.0,False,False,264
58,13961824,2020-06-13T07:40:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T05:40:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T05:40:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 07:40:00,2020-06-13T05:40:00Z,2020-06-13T05:40:00+02:00,7200.0,False,False,264
59,13961825,2020-06-13T07:50:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T05:50:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T05:50:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 07:50:00,2020-06-13T05:50:00Z,2020-06-13T05:50:00+02:00,7200.0,False,False,264
60,13961827,2020-06-13T08:00:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T06:00:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T06:00:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 08:00:00,2020-06-13T06:00:00Z,2020-06-13T06:00:00+02:00,7200.0,False,False,264
61,13961829,2020-06-13T08:10:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T06:10:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T06:10:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 08:10:00,2020-06-13T06:10:00Z,2020-06-13T06:10:00+02:00,7200.0,False,False,264
62,13961830,2020-06-13T08:20:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T06:20:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T06:20:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 08:20:00,2020-06-13T06:20:00Z,2020-06-13T06:20:00+02:00,7200.0,False,False,264
63,13961832,2020-06-13T08:30:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T06:30:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T06:30:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 08:30:00,2020-06-13T06:30:00Z,2020-06-13T06:30:00+02:00,7200.0,False,False,264
64,13961833,2020-06-13T08:40:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T06:40:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T06:40:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 08:40:00,2020-06-13T06:40:00Z,2020-06-13T06:40:00+02:00,7200.0,False,False,264
65,13961835,2020-06-13T08:50:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T06:50:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T06:50:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 08:50:00,2020-06-13T06:50:00Z,2020-06-13T06:50:00+02:00,7200.0,False,False,264
66,13961836,2020-06-13T09:00:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T07:00:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T07:00:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 09:00:00,2020-06-13T07:00:00Z,2020-06-13T07:00:00+02:00,7200.0,False,False,264
67,9812504,2020-06-21T06:25:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-21T04:25:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-21T04:25:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-06-21 06:25:00,2020-06-21T04:25:00Z,2020-06-21T04:25:00+02:00,7200.0,False,False,264
